,BPM,Activity Index,Bends per 9.09 s,Speed,Max speed,Dist per bend,Area,Appears in frames,Moving (non-paralyzed),Region,Round ratio,Eccentricity
4,0.0,0.0,0.0,0.006971520966522263,0.009936284093907151,,0.0528,75.0,False,['all'],1.0,0.856668871998811
5,0.0,0.0,0.0,0.03622780012149325,0.08830531586750706,,0.096,75.0,False,['all'],0.0,0.9700152193781806
22,0.0,0.0,0.0,0.010038875212707079,0.01555895704674612,,0.1744,59.0,False,['all'],0.0,0.9740619280066423
27,0.0,0.0,0.0,0.05724021790075668,0.08202553087078716,,0.15360000000000001,63.0,False,['all'],0.07936507936507942,0.9366121004826611
30,0.0,0.0,0.0,0.01882290380419149,0.029693928872960983,,0.0432,66.0,False,['all'],0.0,0.9670972793727717
35,64.91803278688525,0.06794754098360657,9.836065573770494,0.14978851367351617,0.16475286038389034,0.00816055201795756,0.12560000000000002,62.0,True,['all'],0.7580645161290323,0.8994939734766755
82,0.0,0.0,0.0,0.0103690899564021,0.03916998912482427,,0.0752,82.0,False,['all'],0.9550561797752809,0.8900574273844428
97,0.0,0.0,0.0,0.045814138512649975,0.09474469951737616,,0.1792,72.0,False,['all'],0.9866666666666667,0.8748480063709809
125,17.217391304347824,0.011937391304347825,2.608695652173913,0.09036894004989736,0.11667476482967448,0.0,0.08320000000000001,116.0,True,['all'],0.48275862068965514,0.9261634338525727
129,0.0,0.0,0.0,0.15424918571070786,0.19701021102614485,,0.1144,76.0,True,['all'],0.4810126582278481,0.9068030229501757
163,0.0,0.0,0.0,0.013464440018522664,0.061328185321954824,,0.09920000000000001,63.0,False,['all'],0.031746031746031744,0.9506692885460537
164,0.0,0.0,0.0,0.03860455010603012,0.09409540648226422,,0.07200000000000001,103.0,False,['all'],1.0,0.8819224932359105
174,0.0,0.0,0.0,0.0029296326150852112,0.006536873348658164,,0.09280000000000001,70.0,False,['all'],1.0,0.6394203447003349
191,0.0,0.0,0.0,0.024949171658577612,0.02856729988718098,,0.046400000000000004,51.0,False,['all'],0.9259259259259259,0.8608718485866469
269,0.0,0.0,0.0,0.11597093174666688,0.16907599362095987,,0.1216,62.0,True,['all'],0.032258064516129004,0.9717190220389746
270,0.0,0.0,0.0,0.0,0.0,,0.0736,74.0,False,['all'],0.0,0.9587403415961809
271,80.27027027027027,0.052443243243243245,12.162162162162163,0.11153994898850111,0.13290689105098213,0.0,0.0784,75.0,True,['all'],0.0,0.9617183132126134
274,0.0,0.0,0.0,0.0,0.0,,0.0448,50.0,False,['all'],1.0,0.7133241605114474
275,0.0,0.0,0.0,0.0073054211195619796,0.022970234909559236,,0.1552,73.0,False,['all'],1.0,0.8706085732460025
277,0.0,0.0,0.0,0.019698640442537534,0.019698640442537534,,0.0592,74.0,False,['all'],0.18918918918918914,0.9297945501364933
288,0.0,0.0,0.0,0.0,0.009929401571176024,,0.0608,64.0,False,['all'],0.0,0.9699713578256945
